第一条线x,第一条线y,第二条线x,第二条线y,第三条线x,第三条线y,第四条线x,第四条线y,第五条线x,第五条线y,第六条线x,第六条线y
0.002,0.002,0,0.005,0.002,0.003,0.002,0.005,0.005,0.008,0.003,0.005
0.002,0.016,0,0.013,0.002,0.008,0.003,0.022,0.005,0.019,0.003,0.016
0.002,0.025,0,0.017,0.002,0.014,0.002,0.027,0.005,0.028,0.005,0.022
0.003,0.038,-0.002,0.022,0.003,0.019,0.003,0.047,0.003,0.043,0.005,0.036
0.005,0.046,-0.002,0.028,0.003,0.025,0.005,0.065,0.005,0.057,0.005,0.044
0.005,0.05,0,0.038,0.002,0.03,0.014,0.082,0.006,0.068,0.005,0.06
0.003,0.058,0.002,0.044,0,0.031,0.012,0.094,0.011,0.082,0.006,0.069
0.005,0.065,0.002,0.054,0,0.039,0.012,0.121,0.011,0.098,0.006,0.08
0.006,0.074,0.003,0.055,0,0.046,0.014,0.137,0.012,0.104,0.008,0.09
0.008,0.082,0.003,0.06,0.003,0.054,0.014,0.145,0.015,0.116,0.011,0.102
0.009,0.091,0.003,0.066,0.005,0.06,0.018,0.162,0.015,0.119,0.011,0.116
0.011,0.099,0.003,0.071,0.008,0.069,0.02,0.175,0.015,0.127,0.012,0.132
0.011,0.107,0.006,0.076,0.008,0.077,0.023,0.187,0.015,0.138,0.015,0.145
0.009,0.113,0.005,0.082,0.008,0.082,0.026,0.193,0.02,0.146,0.017,0.156
0.011,0.121,0.008,0.09,0.008,0.101,0.026,0.209,0.02,0.153,0.02,0.17
0.011,0.131,0.006,0.096,0.008,0.107,0.028,0.217,0.02,0.157,0.021,0.178
0.014,0.135,0.008,0.101,0.009,0.113,0.029,0.228,0.021,0.162,0.023,0.186
0.014,0.143,0.009,0.108,0.012,0.118,0.032,0.23,0.021,0.167,0.026,0.198
0.012,0.151,0.009,0.115,0.012,0.126,0.031,0.244,0.028,0.176,0.026,0.204
0.014,0.157,0.009,0.121,0.012,0.129,0.035,0.252,0.029,0.184,0.028,0.214
0.017,0.164,0.009,0.129,0.012,0.138,0.038,0.258,0.029,0.187,0.031,0.225
