股票编号,上市年限,所属行业,所属概念板块
1,26,房地产业,预增;小盘成长;标普道琼斯概念;地方国企;深圳市国资;粤港澳大湾区;粤港澳自贸区;预减;含B股的A股;广东省国资
2,1,制造业,次新股;音乐产业;消费电子产业;合资企业;智能音箱
3,17,制造业,股权转让;融资融券;低价小市值;融资融券标的;成渝特区
4,22,批发和零售业,预增;地方国企
5,1,制造业,次新股
6,7,制造业,国家队;员工持股;超涨;重组
7,1,制造业,打板;超涨
8,3,制造业,可转债
9,17,制造业,充电桩;太赫兹;地方国企;天津市国资;预减;钨矿;超涨;超导;国家队;智能电网
10,1,制造业,高频PCB;科技龙头;基金重仓(季调);二线龙头;可转债;手机产业;电路板;珠三角;消费电子产业;标普道琼斯概念
11,2,制造业,预减
12,2,租赁和商务服务业,标普道琼斯概念;预减;含可转债
13,8,制造业,融资融券标的;融资融券;员工持股;MSCI中盘;预增;标普道琼斯概念;超涨;大盘蓝筹;珠三角
14,12,制造业,
15,7,批发和零售业,标普道琼斯概念;基金重仓(季调);股票质押;MSCI中盘;行业龙头;跨境电商;电子商务
16,26,综合,融资融券标的;养老产业;举牌;合资企业;融资融券
17,8,制造业,国家队;机器人;大盘蓝筹;融资融券;人民币贬值;并购阶段(需定增);融资融券标的;标普道琼斯概念
18,8,制造业,地方国企;国家队;融资融券标的;抗核辐射;天津市国资;融资融券
19,24,信息传输、软件和信息技术服务业,央企;标普道琼斯概念;重组;十大军工集团;预增;护城河;云计算;国家队
20,1,文化、体育和娱乐业,影视;超涨;地方国企;次新股;文化传媒概念
21,21,建筑业,证金概念;PPP;行业龙头;水利水电建设;MSCI大盘;融资融券;一线龙头;社保重仓;基金重仓(季调);国家队;大盘蓝筹;一带一路;标普道琼斯概念;央企;融资融券标的
22,1,制造业,次新股
23,1,制造业,标普道琼斯概念;次新股;出口型企业;含可转债;预减;超涨
24,1,制造业,预增;小盘成长;含可转债;近端次新股;次新股
25,1,制造业,绿色节能照明;次新股
